id,name_formal,state,official_sk,district_sk,party,gov_type,city,district_id,valid_to,last_name,valid_from,first_name,links,chamber_id,num_officials,chamber_type
197906,Pomona City Council,CA,170924,858828,,LOCAL,Pomona,6,2020-11-09 00:00:00+00,Torres,2016-11-14 00:00:00+00,Robert,#,3865,1,LOWER
80067,California State Assembly,CA,32837,752665,Democrat,STATE,,39,2014-12-01 00:00:00+00,Bocanegra,2012-12-03 00:00:00+00,Raul,#,2446,1,LOWER
198883,California State Assembly,CA,79781,752690,Republican,STATE,,16,2018-12-03 00:00:00+00,Baker,2014-12-01 00:00:00+00,Catharine,#,2446,1,LOWER
201118,Los Angeles City Council,CA,55372,758076,,LOCAL,Los Angeles,13,2021-07-01 00:00:00+00,O'Farrell,2013-07-01 00:00:00+00,Mitch,#,4327,1,LOWER
184636,Los Angeles City Council,CA,14608,758082,,LOCAL,Los Angeles,10,2019-07-01 00:00:00+00,Wesson,2013-07-01 00:00:00+00,Herb,#,4327,1,LOWER
192954,California Senate,CA,4795,752742,Republican,STATE,,12,2018-12-03 00:00:00+00,Cannella,2012-12-03 00:00:00+00,Anthony,#,1403,1,UPPER
200160,United States House of Representatives,CA,15492,757227,Republican,NATIONAL,,25,2019-01-03 00:00:00+00,Knight,2015-01-06 00:00:00+00,Steve,94710,4507,1,LOWER
92871,United States House of Representatives,CA,15288,757225,Democrat,NATIONAL,,33,2015-01-06 00:00:00+00,Waxman,2013-01-03 00:00:00+00,Henry,#,4507,1,LOWER
80954,San Jose City Council,CA,7802,2683,,LOCAL,San Jose,1,2015-01-01 00:00:00+00,Constant,2010-12-31 00:00:00+00,Pete,#,2638,1,LOWER
80147,California State Assembly,CA,2242,752656,Democrat,STATE,,64,2014-12-01 00:00:00+00,Hall,2012-12-03 00:00:00+00,Isadore,106978,2446,1,LOWER
122073,Berkeley City Council,CA,4359,1401,,LOCAL,Berkeley,5,2014-12-01 00:00:00+00,Capitelli,2008-12-01 00:00:00+00,Laurie,#,4500,1,LOWER
122054,Bakersfield City Council,CA,12446,1399,,LOCAL,Bakersfield,5,2014-12-01 00:00:00+00,Hanson,2000-12-01 00:00:00+00,Harold,#,2613,1,LOWER
24627,Oakland City Council,CA,11440,1484,,LOCAL,Oakland,5,2013-01-07 00:00:00+00,De La Fuente,2009-01-04 00:00:00+00,Ignacio,#,2823,1,LOWER
122065,Berkeley City Council,CA,4359,841040,,LOCAL,Berkeley,5,2016-11-30 00:00:00+00,Capitelli,2014-12-01 00:00:00+00,Laurie,#,4500,1,LOWER
196469,Pomona City Council,CA,170912,858955,,LOCAL,Pomona,4,2020-11-09 00:00:00+00,Ontiveros-Cole,2016-11-14 00:00:00+00,Elizabeth,#,3865,1,LOWER
32660,California Senate,CA,557,772,Democrat,STATE,,2,2012-12-03 00:00:00+00,Evans,2010-12-06 00:00:00+00,Noreen,#,1403,0,UPPER
188346,Concord City Council,CA,168553,858413,,LOCAL,Concord,At Large,2018-12-01 00:00:00+00,Leone,2014-12-02 00:00:00+00,Ron,#,3423,1,LOWER
134801,San Diego City Council,CA,1821,1807,,LOCAL,San Diego,7,0001-01-02 00:00:00+00,Madaffer,0001-01-01 00:00:00+00,Jim,#,4259,0,LOWER
195413,Visalia City Council,CA,169006,858398,,LOCAL,Visalia,5,2018-11-30 00:00:00+00,Nelsen,2016-12-16 00:00:00+00,Steven,#,3422,1,LOWER
196459,Salinas City Council,CA,170733,858938,,LOCAL,Salinas,2,2018-11-13 00:00:00+00,Barrera,2014-11-11 00:00:00+00,Tony,#,3861,1,LOWER
