city,id,last_name,official_sk,district_id,district_sk,name_formal,party,num_officials,first_name,chamber_id,gov_type,valid_from,links,chamber_type,state,valid_to
,196086,Scutari,11663,000000000022,4639,New Jersey State Senate,Democrat,1,Nicholas,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,133852,VACANT,133839,000000000029,10855,New Jersey General Assembly,,2,VACANT,4411,STATE,2016-07-02 00:00:00+00,#,LOWER,NJ,2016-07-21 00:00:00+00
,196107,Corrado,180292,000000000040,4659,New Jersey State Senate,Republican,1,Kristin,2363,STATE,2017-10-05 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,27120,Karrow,3306,000000000023,10849,New Jersey General Assembly,Republican,2,Marcia,4411,STATE,2009-02-09 00:00:00+00,#,LOWER,NJ,2010-01-12 00:00:00+00
,179017,Guadagno,13368,NJ,533,New Jersey Lieutenant Governor,Republican,2,Kimberly,2580,STATE,2010-01-19 00:00:00+00,#,EXEC,NJ,2018-01-15 00:00:00+00
,12122,Vandervalk,12122,000000000039,10865,New Jersey General Assembly,Republican,2,Charlotte,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,0001-01-02 00:00:00+00
,196095,Singer,15662,000000000030,4648,New Jersey State Senate,Republican,1,Robert,2363,STATE,2012-01-10 00:00:00+00,#,UPPER,NJ,2022-01-11 00:00:00+00
,111870,VACANT,56031,NJ,47,United States Senate,,2,VACANT,2675,NATIONAL,2013-06-03 00:00:00+00,#,UPPER,NJ,2013-06-10 00:00:00+00
,188880,Menendez,7873,NJ,47,United States Senate,Democrat,2,Robert,2675,NATIONAL,2007-01-03 00:00:00+00,#,UPPER,NJ,2019-01-03 00:00:00+00
,196143,Coughlin,8893,000000000019,10845,New Jersey General Assembly,Democrat,2,Craig,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
Elizabeth,195714,Torres,174884,1,858446,Elizabeth City Council,,1,Carlos,4383,LOCAL,2015-01-01 00:00:00+00,#,LOWER,NJ,2019-01-01 00:00:00+00
Paterson,176921,Jackson,174008,1,858852,Paterson City Council,,1,Michael,4618,LOCAL,2015-11-03 00:00:00+00,#,LOWER,NJ,2018-07-01 00:00:00+00
,196158,Giblin,900,000000000034,10860,New Jersey General Assembly,Democrat,2,Thomas,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2020-01-14 00:00:00+00
,159805,Watson Coleman,11387,000000000012,757340,United States House of Representatives,Democrat,1,Bonnie,4507,NATIONAL,2015-01-06 00:00:00+00,109964,LOWER,NJ,2019-01-03 00:00:00+00
,121750,McHose,10564,000000000024,10850,New Jersey General Assembly,Republican,2,Alison,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2016-01-12 00:00:00+00
,200263,Lagana,67126,000000000038,4657,New Jersey State Senate,Democrat,1,Joseph,2363,STATE,2018-04-12 00:00:00+00,198734,UPPER,NJ,2022-01-11 00:00:00+00
,180295,Rible,4657,000000000030,10856,New Jersey General Assembly,Republican,2,David,4411,STATE,2012-01-10 00:00:00+00,#,LOWER,NJ,2017-07-17 00:00:00+00
Elizabeth,195711,Kiniery,174880,3,858443,Elizabeth City Council,,1,Kevin,4383,LOCAL,2015-01-01 00:00:00+00,#,LOWER,NJ,2019-01-01 00:00:00+00
,12604,Adler,12604,000000000003,1496,United States House of Representatives,Democrat,0,John,4507,NATIONAL,2009-01-03 00:00:00+00,#,LOWER,NJ,2011-01-03 00:00:00+00
