last_name,links,first_name,valid_to,district_id,chamber_type,city,valid_from,name_formal,party,id,district_sk,state,chamber_id,gov_type,num_officials,official_sk
Jackson,#,Jim,2013-01-08 00:00:00+00,000000000115,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,16726,5784,TX,2661,STATE,0,16726
Mouton,#,Robin,2019-05-07 00:00:00+00,4,LOWER,Beaumont,2017-05-09 00:00:00+00,Beaumont City Council,,174366,858466,TX,3661,LOCAL,1,171093
Zimmerman,#,W.B.,2013-06-03 00:00:00+00,000000000003,LOWER,Fort Worth,2011-05-14 00:00:00+00,Fort Worth City Council,,54425,917,TX,4217,LOCAL,0,14460
Granger,#,Kay,2013-01-03 00:00:00+00,000000000012,LOWER,,2011-01-03 00:00:00+00,United States House of Representatives,Republican,9418,1824,TX,4507,NATIONAL,0,9418
Harris,#,Steve,2019-05-31 00:00:00+00,4,LOWER,Killeen,2013-05-31 00:00:00+00,Killeen City Council,,195406,858792,TX,4522,LOCAL,1,174062
Zedler,#,Bill,2013-01-08 00:00:00+00,000000000096,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,4813,5802,TX,2661,STATE,0,4813
Moore,#,Barry,2018-11-08 00:00:00+00,At Large,LOWER,College Station,2016-11-08 00:00:00+00,College Station City Council,,184834,858565,TX,3578,LOCAL,1,171729
Klick,#,Stephanie,2019-01-08 00:00:00+00,91,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,194280,760045,TX,2661,STATE,1,28914
Cohen,#,Ellen,2020-01-02 00:00:00+00,C,LOWER,Houston,2012-01-02 00:00:00+00,Houston City Council,,181473,2971,TX,2814,LOCAL,1,17976
VACANT,#,VACANT,2012-11-07 00:00:00+00,000000000144,LOWER,,2012-06-01 00:00:00+00,Texas House of Representatives,,23223,5894,TX,2661,STATE,0,19583
VACANT,#,VACANT,2015-01-05 00:00:00+00,000000000016,LOWER,,2014-08-26 00:00:00+00,Texas House of Representatives,,87120,754665,TX,2661,STATE,0,81002
Ricciardelli,#,Anthony,2021-05-01 00:00:00+00,At Large,LOWER,Plano,2017-05-09 00:00:00+00,Plano City Council,,200584,858986,TX,3792,LOCAL,1,173687
West,#,Royce,2019-01-08 00:00:00+00,000000000023,UPPER,,2013-01-08 00:00:00+00,The Senate of Texas,Democrat,195322,754822,TX,2664,STATE,1,1540
Daniels,#,Brent,2019-05-04 00:00:00+00,At Large,LOWER,Lewisville,2016-05-07 00:00:00+00,Lewisville City Council,,200647,858787,TX,4615,LOCAL,1,172933
Allen,#,Jerry,2013-06-03 00:00:00+00,000000000010,LOWER,Dallas,2011-06-01 00:00:00+00,Dallas City Council,,53103,479,TX,4287,LOCAL,0,2490
Vo,#,Hubert,2019-01-08 00:00:00+00,149,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,193240,760103,TX,2661,STATE,1,17185
Gomez-Frey,#,Marta,2019-05-31 00:00:00+00,At Large,LOWER,Richardson,2015-06-30 00:00:00+00,Richardson City Council,,177040,859004,TX,4606,LOCAL,1,173793
Atkins,#,Tennell,2015-06-22 00:00:00+00,8,LOWER,Dallas,2013-06-03 00:00:00+00,Dallas City Council,,110513,758055,TX,4287,LOCAL,1,2608
Thompson,#,Senfronia,2015-01-05 00:00:00+00,000000000141,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Democrat,56943,754790,TX,2661,STATE,0,16243
McCracken,#,Brewster,2009-06-20 00:00:00+00,AT LARGE,LOWER,Austin,0001-01-01 00:00:00+00,Austin City Council,,644,2019,TX,4171,LOCAL,0,644
Cruz,#,Frances,2020-05-01 00:00:00+00,At Large,LOWER,Carrollton,2017-05-01 00:00:00+00,Carrollton City Council,,200601,858944,TX,3667,LOCAL,1,171595
Guerra,#,Robert,2019-01-08 00:00:00+00,41,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,193867,759995,TX,2661,STATE,1,23186
Lang,#,Mike,2019-01-08 00:00:00+00,60,LOWER,,2017-01-10 00:00:00+00,Texas House of Representatives,Republican,162043,760014,TX,2661,STATE,1,140785
Margo,17653,Dee,2021-06-29 00:00:00+00,EL PASO,EXEC,El Paso,2017-06-27 00:00:00+00,El Paso Mayor,,179201,186,TX,138,LOCAL,1,17653
Bolton,#,Valinda,2011-01-01 00:00:00+00,000000000047,LOWER,,2009-01-01 00:00:00+00,Texas House of Representatives,Democrat,8752,5829,TX,2661,STATE,0,8752
Villarreal,#,Mike,2013-01-08 00:00:00+00,000000000123,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Democrat,11446,5862,TX,2661,STATE,0,11446
Murphy,#,Jim ,2013-01-08 00:00:00+00,000000000133,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,12635,5851,TX,2661,STATE,0,12635
Geren,#,Charlie,2015-01-05 00:00:00+00,000000000099,LOWER,,2013-01-08 00:00:00+00,Texas House of Representatives,Republican,67691,754748,TX,2661,STATE,0,9891
Jordan,#,Jungus,2019-06-01 00:00:00+00,6,LOWER,Fort Worth,2013-06-03 00:00:00+00,Fort Worth City Council,,181291,758023,TX,4217,LOCAL,1,17453
Schofield,#,Mike,2019-01-08 00:00:00+00,132,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,192843,760086,TX,2661,STATE,1,82407
Paddie,#,Chris,2019-01-08 00:00:00+00,9,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,194278,759963,TX,2661,STATE,1,28607
Bonnen,#,Dennis,2013-01-08 00:00:00+00,000000000025,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,9255,5901,TX,2661,STATE,0,9255
Del Bosque,#,Mike,2020-05-09 00:00:00+00,3,LOWER,Grand Prairie,2017-05-13 00:00:00+00,Grand Prairie City Council,,200853,858754,TX,4199,LOCAL,1,174766
Jones,#,Brandon,2019-05-04 00:00:00+00,At Large,LOWER,Lewisville,2016-05-07 00:00:00+00,Lewisville City Council,,174619,858787,TX,4615,LOCAL,1,172932
Hamilton,#,Mike,2013-01-08 00:00:00+00,000000000019,LOWER,,2011-01-04 00:00:00+00,Texas House of Representatives,Republican,12536,5886,TX,2661,STATE,0,12536
Alvarado,#,Carol,2019-01-08 00:00:00+00,145,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,193236,760099,TX,2661,STATE,1,16899
Goebel,#,Anita,2017-12-12 00:00:00+00,2,LOWER,Garland,2012-07-03 00:00:00+00,Garland City Council,,187101,858771,TX,3096,LOCAL,1,173559
Lopez,#,Raynaldo,2017-06-01 00:00:00+00,6,LOWER,San Antonio,2013-06-01 00:00:00+00,San Antonio City Council,,160162,760784,TX,1560,LOCAL,1,1474
Nevárez,#,Alfonso,2019-01-08 00:00:00+00,74,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Democrat,194261,760028,TX,2661,STATE,1,28582
Bonnen,#,Dennis,2019-01-08 00:00:00+00,25,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,193493,759979,TX,2661,STATE,1,9255
Schaefer,#,Matt,2019-01-08 00:00:00+00,6,LOWER,,2015-01-05 00:00:00+00,Texas House of Representatives,Republican,200657,759960,TX,2661,STATE,1,28557
